Professor,Courses
William John Foley,"DSES-2210, DSES-2940, DSES-4200, DSES-4210, DSES-4260, DSES-4270, DSES-4290, DSES-4940, DSES-6620, ECSE-4940, EMBA-6110, ENGR-2020, ENGR-2050, ENGR-2090, ENGR-2350, ENGR-2530, ENGR-2600, ENGR-2700, ENGR-4700, ENGR-4750, ENGR-4760, ENGR-4940, ISYE-2210, ISYE-4200, ISYE-4240, ISYE-4270, ISYE-4290, ISYE-4600, ISYE-6610, ISYE-6620, ISYE-6990, ISYE-9990"
Donald S Bunk,"ENGR-1100, ENGR-2090, ENGR-2530"
Richard N Smith,"ENGR-1964, ENGR-2250, ENGR-2710, ENGR-2720, ESCI-9990, MANE-2710, MANE-2720, MANE-2960, MANE-4010, MANE-4020, MANE-4960, MANE-4962, MANE-6540, MANE-6990, MANE-9990, MTLE-6450"
Richard T Lahey Jr,"CHME-6850, ENGR-2250, ENVE-4940, ENVE-6660, ENVE-6700, ENVE-6980, ENVE-6990, ENVE-9990, MANE-6520, MANE-6840, MANE-6850, MANE-6990, MANE-9990, PHYS-9990"
Jill Thomley Richie,ENGR-2600
Nong Shang,"DSES-4940, DSES-6020, DSES-6130, DSES-6940, DSES-6990, DSES-9990, ENGR-2600"
Don Steiner,"ENGR-1961, ENGR-1964, ENGR-2830, ENVE-4920, ENVE-4940, ENVE-6980, ENVE-6990, ENVE-9990, ERTH-6990, MANE-4360, MANE-4380, MANE-4390, MANE-4940, MANE-6940, MANE-6990, MANE-9990"
C. James Li,"ENGR-2090, ENGR-4050, ENGR-4940, MANE-4050, MANE-6890, MANE-6990, MANE-9990"
Kenneth A Connor,"ECSE-1010, ECSE-1961, ECSE-2100, ECSE-2900, ECSE-2940, ECSE-4160, ECSE-4320, ECSE-4940, ECSE-4961, ECSE-4980, ECSE-6310, ECSE-6940, ECSE-6980, ECSE-6990, ECSE-9990, ENGR-1310, ENGR-1963, ENGR-2300, ENGR-4300, ENGR-4940, EPOW-4020, EPOW-4840, EPOW-4940, EPOW-6810, EPOW-6850, EPOW-6860, EPOW-6870, EPOW-6900, EPOW-6940, ESCI-9990, PHYS-4940"
Stephen James Derby,"ECSE-4940, ENGR-2050, ENGR-4710, ENGR-4720, ESCI-9990, MANE-4180, MANE-4620, MANE-4940, MANE-6800, MANE-6940, MANE-6960, MANE-6961, MANE-6962, MANE-6963, MANE-6966, MANE-6990, MANE-9990"
Mohamed H. Aboul-Seoud,"DSES-2010, DSES-4230, DSES-4240, DSES-4610, DSES-4620, DSES-4640, DSES-4650, DSES-4940, DSES-6110, DSES-6170, DSES-6230, DSES-6610, DSES-6940, DSES-6980, DSES-9990, ENGR-1100, ENGR-2050, ENGR-2350, ENGR-2530, ENGR-2600, ENGR-4700, ENGR-4750, ENGR-4760, ISYE-2210, ISYE-4140, ISYE-4230, ISYE-4240, ISYE-4250, ISYE-6980, ISYE-6990, ISYE-9990, MANE-4030, MGMT-6470"
Michael Kupferschmid,"DSES-2940, DSES-4770, DSES-6940, DSES-9990, ENGR-4200, ENGR-4962, EPOW-6890, ISYE-4770, MATH-2960, MATH-4960, MATH-4961, MATH-6960, MATH-6980, MATP-4700, MATP-4820, MATP-4940, MATP-6610, MATP-6961"
Mark Walter Steiner,"BMED-4961, DSES-4270, DSES-4940, ECSE-4900, ENGR-1200, ENGR-1300, ENGR-1962, ENGR-1964, ENGR-2020, ENGR-2050, ENGR-4940, ENGR-4961, ENGR-4963, ISYE-4270, ITEC-4940, MANE-4260, MANE-4940, MANE-6940, MANE-6980, MANE-6990, MANE-9990, MTLE-4920"
Thomas R Willemain,"DSES-2940, DSES-4140, DSES-4230, DSES-4650, DSES-4940, DSES-4962, DSES-4980, DSES-6010, DSES-6100, DSES-6140, DSES-6840, DSES-6900, DSES-6940, DSES-6962, DSES-6970, DSES-6980, DSES-6990, DSES-9990, ECSE-6840, ENGR-2600, ISYE-4140, ISYE-4230, ISYE-4962, ISYE-6100, ISYE-6990, ISYE-9990"
Charles J. Malmborg,"DSES-4250, DSES-6940"
Charles Malmborg,"DSES-2010, DSES-4200, DSES-4250, DSES-4270, DSES-4600, DSES-4640, DSES-4940, DSES-4963, DSES-6110, DSES-6610, DSES-6940, DSES-6970, DSES-6980, DSES-6990, DSES-9990, EMBA-6750, EMBA-6962, ENGR-2600, ESCI-9990, ISYE-1100, ISYE-1960, ISYE-4140, ISYE-4230, ISYE-4250, ISYE-4600, ISYE-6610, ISYE-6990, ISYE-9990"
Cheng Hsu,"DSES-4270, DSES-4290, DSES-4530, DSES-4940, DSES-4961, DSES-6520, DSES-6560, DSES-6570, DSES-6620, DSES-6900, DSES-6910, DSES-6940, DSES-6961, DSES-6964, DSES-6980, DSES-6990, DSES-9990, ENGR-2050, ESCI-9990, ISYE-4270, ISYE-4290, ISYE-4530, ISYE-6620, ISYE-6990, ISYE-9990, ITEC-6980, MGMT-6940, MGMT-9990"
Pasquale Sullo,"DSES-4140, DSES-4760, DSES-4940, DSES-6050, DSES-6070, DSES-6230, DSES-6980, DSES-6990, ENGR-2600, MATP-4620, MATP-6960"
Jennifer A. Blue,"CSCI-1190, CSCI-2940, DSES-4780, DSES-4940, DSES-6961, ENGR-2600, MANE-6940, MATH-1010, MATH-1020, MATH-1500, MATH-1520, MATH-1620, MATH-2400, MATH-4940, MATP-4820, MATP-4940, MATP-6610, MATP-6961"
Mark J Embrechts,"DSES-2940, DSES-4810, DSES-4940, DSES-6180, DSES-6870, DSES-6900, DSES-6940, DSES-6962, DSES-6963, DSES-6970, DSES-6980, DSES-6990, DSES-9990, ENGR-2350, ESCI-9990, ISYE-4270, ISYE-4330, ISYE-4360, ISYE-4810, ISYE-6020, ISYE-6180, ISYE-6190, ISYE-6870, ISYE-6900, ISYE-6960, ISYE-6990, ISYE-9990, MANE-6240, MGMT-6990"
Daniel Berg,"DSES-4940, DSES-6470, DSES-6480, DSES-6940, DSES-6970, DSES-6980, DSES-6990, DSES-9990, ESCI-9990, MGMT-6480, MGMT-6610, MGMT-6940, MGMT-9990"
Madabhushi Raghavachari,"DSES-4760, DSES-6010, DSES-6060, DSES-6110, DSES-6150, DSES-6940, DSES-6965, DSES-6980, DSES-6990, DSES-9990, MATH-6980, MATH-9990, MATP-4620"
Robert J. Graves,"DSES-6210, DSES-6220, DSES-6900, DSES-6910, DSES-6940, DSES-6980, DSES-6990, DSES-9990, ENGR-4700, ITEC-6980"
John E. Mitchell,"CSCI-6800, CSCI-6970, DSES-4770, DSES-6760, DSES-6770, DSES-6780, DSES-6940, DSES-6990, DSES-9990, ISYE-4770, ISYE-6760, ISYE-6770, ISYE-6780, ISYE-6990, ISYE-9990, MATH-1900, MATH-1910, MATH-2010, MATH-2800, MATH-4940, MATH-4941, MATH-6800, MATH-6940, MATH-6980, MATH-6990, MATH-9990, MATP-4700, MATP-4940, MATP-6600, MATP-6620, MATP-6640, MATP-6940, MATP-6960, MATP-6990"
Deniz Sandhu,"DSES-6820, ECSE-6820"
Jorge Haddock,"DSES-4940, DSES-6940, DSES-6980, ESCI-9990, MGMT-4100, MGMT-4110, MGMT-4940, MGMT-6100, MGMT-6940, MGMT-6964, MGMT-9990"
Martha Rose Grabowski,"DSES-6940, DSES-6980, DSES-6990, DSES-9990, ESCI-9990, ISYE-6980, ISYE-6990, ISYE-9990, ITEC-6980"
Sunderesh S. Heragu,"DSES-4230, DSES-4240, DSES-4250, DSES-4940, DSES-6200, DSES-6230, DSES-6600, DSES-6900, DSES-6910, DSES-6940, DSES-6980, DSES-6990, DSES-9990"
William Alan Wallace,"CSCI-6980, DSES-4940, DSES-4962, DSES-6090, DSES-6500, DSES-6530, DSES-6940, DSES-6980, DSES-6990, DSES-9990, ECSE-9990, ESCI-9990, ISYE-4140, ISYE-4270, ISYE-4310, ISYE-4600, ISYE-4960, ISYE-6610, ISYE-6940, ISYE-6990, ISYE-9990, ITEC-6990, ITWS-6990"
James M Tien,"DSES-4280, DSES-4940, DSES-4962, DSES-6860, DSES-6940, DSES-6970, DSES-6980, DSES-6990, DSES-9990, ECSE-6860"
Kristin P Bennett,"BIOL-4900, BIOL-4960, CSCI-6961, CSCI-6980, CSCI-6990, CSCI-9990, DSES-4750, DSES-4780, DSES-6780, DSES-6940, DSES-6961, DSES-9990, ISYE-4750, ISYE-4961, ISYE-6780, ISYE-6961, ISYE-9990, ITWS-4961, ITWS-6961, MATH-1900, MATH-1910, MATH-2960, MATH-4940, MATH-4950, MATH-4960, MATH-4961, MATH-4980, MATH-6940, MATH-6961, MATH-6970, MATH-6980, MATH-9990, MATP-4400, MATP-4600, MATP-4820, MATP-4910, MATP-4961, MATP-6600, MATP-6610, MATP-6910, MATP-6940, MATP-6961, MATP-6962, MATP-6970, MATP-6980, MATP-6990"
Thiagarajan Ravichandran,"DSES-6980, DSES-9990, EMBA-6965, MATH-6940, MGMT-2510, MGMT-4240, MGMT-4960, MGMT-6060, MGMT-6080, MGMT-6090, MGMT-6130, MGMT-6140, MGMT-6170, MGMT-6180, MGMT-6310, MGMT-6390, MGMT-6445, MGMT-6690, MGMT-6940, MGMT-6960, MGMT-6961, MGMT-6962, MGMT-6963, MGMT-6966, MGMT-6967, MGMT-6971, MGMT-6972, MGMT-6973, MGMT-6990, MGMT-7890, MGMT-9990"
Richard Bopp,"CHEM-4190, CHEM-4540, CHEM-4690, CHEM-6940, CHEM-9990, ERTH-1020, ERTH-1200, ERTH-1250, ERTH-2610, ERTH-4180, ERTH-4190, ERTH-4500, ERTH-4540, ERTH-4690, ERTH-4940, ERTH-4970, ERTH-4980, ERTH-6940, ERTH-6962, ERTH-6970, ERTH-6980, ERTH-6990, ERTH-9990, IENV-4500, IENV-4700, IENV-4940, IENV-6940"
Michael Gaffey,"BIOL-6940, ERTH-1030, ERTH-1040, ERTH-1210, ERTH-2200, ERTH-2620, ERTH-4940, ERTH-6940, ERTH-9990"
Frank Spear,"CHEM-4690, ERTH-2120, ERTH-2210, ERTH-2330, ERTH-2941, ERTH-4340, ERTH-4690, ERTH-4940, ERTH-4941, ERTH-4970, ERTH-4980, ERTH-6300, ERTH-6690, ERTH-6940, ERTH-6961, ERTH-6980, ERTH-6990, ERTH-9990"
E Bruce Watson,"CHEM-2540, CHEM-2950, CHEM-4940, ENVE-9990, ERTH-1030, ERTH-1510, ERTH-2140, ERTH-2330, ERTH-2940, ERTH-4940, ERTH-4962, ERTH-4970, ERTH-6940, ERTH-6960, ERTH-6980, ERTH-6990, ERTH-9990, ISCI-1510, ISCI-4510"
Robert McCaffrey,"CSCI-4964, CSCI-4968, CSCI-6971, ERTH-1010, ERTH-2100, ERTH-2940, ERTH-4750, ERTH-4940, ERTH-4961, ERTH-6940, ERTH-6961, ERTH-6962, ERTH-6980, ERTH-9990, ESCI-9990"
Edward L Shuster,"ERTH-4070, ERTH-4180, ERTH-4710, ERTH-4940, ERTH-4980, ERTH-6710, ERTH-6940, IENV-4700"
Steven W Roecker,"ERTH-1010, ERTH-1030, ERTH-1100, ERTH-1150, ERTH-1960, ERTH-1961, ERTH-2100, ERTH-2940, ERTH-4570, ERTH-4650, ERTH-4680, ERTH-4940, ERTH-6580, ERTH-6940, ERTH-6980, ERTH-6990, ERTH-9990"
Teofilo Abrajano,"CHEM-4690, ENVE-4110, ENVE-6940, ERTH-4180, ERTH-4500, ERTH-4690, ERTH-4940, ERTH-6940, ERTH-6960, ERTH-6963, ERTH-6980, ERTH-6990, ERTH-9990, IENV-1910, IENV-1920, IENV-4500"
Andrew Paul Bahn,ECON-1200
Jon Erickson,"ECON-1200, ECON-4120, ECON-4240, ECON-4250, ECON-4962, ECON-6240, ECON-6250, ECON-6920, ECON-6961, ECON-9990"
Quentin Marc Duroy,ECON-1200
Romesh K Diwan,"DSES-9990, ECON-1200, ECON-2940, ECON-4962, ECON-6570, ECON-9990"
Stephen Z. Onyeiwu,"ECON-1200, ECON-2010, ECON-4940, ECON-6940, ECON-9990"
Donald F Vitaliano,"ECON-2010, ECON-4160, ECON-4210, ECON-4900, ECON-4940, ECON-6160, ECON-6210, ECON-6940, ECON-6960, ECON-9990"
Erol Cebeci,ECON-2020
John J. Heim,"ECON-2020, ECON-2940, ECON-4130, ECON-4190, ECON-4900, ECON-4940, ECON-6570, ECON-6590, ECON-6940, ECON-6990, ECSE-4940"
Gregory N. Hughes,"CSCI-4350, CSCI-4400, CSCI-6350, CSCI-6400, DSES-6961, DSES-6962, ECON-4961, EMBA-6520, EMBA-6710, EMBA-6964, ENGR-4100, ENGR-6100, ERTH-4350, ERTH-4400, ERTH-6350, ERTH-6400, ITEC-1100, ITEC-4100, ITEC-4300, ITEC-4310, ITEC-6300, ITEC-6800, ITEC-6940, ITEC-6961, ITWS-1100, ITWS-4100, ITWS-4300, ITWS-4310, ITWS-4350, ITWS-4400, ITWS-4600, ITWS-4940, ITWS-6300, ITWS-6350, ITWS-6400, ITWS-6600, ITWS-6800, MGMT-4150, MGMT-4940, MGMT-6650, MGMT-6660, MGMT-6680, MGMT-6940, MGMT-6965, MGMT-7030, MGMT-7040"
John M Gowdy,"ECON-2010, ECON-2020, ECON-2940, ECON-4240, ECON-4250, ECON-4260, ECON-4900, ECON-4940, ECON-4961, ECON-4963, ECON-6240, ECON-6250, ECON-6550, ECON-6940, ECON-6960, ECON-6963, ECON-6990, ECON-9990, IHSS-1240, IHSS-1960, IHSS-1967, IHSS-1970, MATH-6940, MGMT-6940, STSS-4961, STSS-4962, STSS-4965, STSS-4966, STSS-4967, STSS-6964"
Jon Jay Erickson,"ECON-4940, ECON-6940, ECON-6990, ECON-9990"
Sabine O'Hara,"ECON-6990, ECON-9990"
Sheppard Joel Salon,"ECSE-2100, ECSE-4120, ECSE-4130, ECSE-4940, ECSE-4963, ECSE-6110, ECSE-6150, ECSE-6980, ECSE-6990, ECSE-9990, EPOW-4010, EPOW-4020, EPOW-4030, EPOW-4940, EPOW-6870, EPOW-6890, EPOW-6940, EPOW-6961, EPOW-6970, EPOW-6980, EPOW-6990, EPOW-9990, ESCI-9990"
Michael Lewis Reichard,EPOW-4840
John Keith Nelson,"ECSE-4940, ECSE-6940, ECSE-9990, EPOW-4030, EPOW-4850, EPOW-6850, EPOW-6900, EPOW-6940, EPOW-6980, EPOW-6990, EPOW-9990"
David A Torrey,"ECSE-2010, ECSE-4080, ECSE-6940, EPOW-4030, EPOW-4080, EPOW-4940, EPOW-4980, EPOW-6090, EPOW-6940, EPOW-6961, EPOW-6990, EPOW-9990"
Robert C Degeneff,"ECSE-4940, ENGR-2940, EPOW-4940, EPOW-4980, EPOW-6810, EPOW-6860, EPOW-6870, EPOW-6940, EPOW-6980, EPOW-9990, MANE-9990"
George T Berry,EPOW-6880
James M. Kokernak,"ECSE-6940, ENGR-2350, ENGR-2962, EPOW-6090, EPOW-6900, EPOW-6940, EPOW-6961, EPOW-6980, EPOW-9990"
Joe H Chow,"ECSE-4440, ECSE-4510, ECSE-4940, ECSE-4965, ECSE-6140, ECSE-6180, ECSE-6190, ECSE-6420, ECSE-6430, ECSE-6460, ECSE-6940, ECSE-6961, ECSE-6962, ECSE-6963, ECSE-6964, ECSE-6965, ECSE-6969, ECSE-6990, ECSE-9990, EPOW-6890, EPOW-6940, EPOW-6990, EPOW-9990, MANE-6610"
A Bruce Carlson,"ECSE-2010, ECSE-2940, ECSE-4940, ENGR-2940"
Paul Matthew Schoch,"ECSE-2010, ECSE-2050, ECSE-4050, ECSE-4320, ECSE-4940, ECSE-4980, ECSE-6050, ECSE-6340, ECSE-6940, ECSE-6970, ECSE-6990, ECSE-9990, ENGR-1310, ENGR-2300, ENGR-2350, ENGR-2940, ENGR-4300, ENGR-4940"
Stephen L. Fitzhugh,ECSE-2060
Ishwara B Bhat,"ECSE-2050, ECSE-2210, ECSE-2940, ECSE-4250, ECSE-4940, ECSE-6230, ECSE-6240, ECSE-6940, ECSE-6980, ECSE-6990, ECSE-9990, EPOW-4940, ESCI-9990, PHYS-6940"
Ronald J Gutmann,"ECSE-2210, ECSE-4180, ECSE-4940, ECSE-6250, ECSE-6940, ECSE-6964, ECSE-6980, ECSE-6990, ECSE-9990"
Tat-Sing Chow,"ECSE-2100, ECSE-2210, ECSE-2941, ECSE-4040, ECSE-4940, ECSE-4941, ECSE-4962, ECSE-6200, ECSE-6230, ECSE-6260, ECSE-6290, ECSE-6300, ECSE-6940, ECSE-6960, ECSE-6961, ECSE-6962, ECSE-6965, ECSE-6966, ECSE-6967, ECSE-6968, ECSE-6969, ECSE-6990, ECSE-9990, EPOW-6940, MTLE-6300"
Alan A Desrochers,"CSCI-4480, DSES-9990, ECSE-2410, ECSE-4440, ECSE-4480, ECSE-4490, ECSE-4510, ECSE-4940, ECSE-6400, ECSE-6440, ECSE-6940, ECSE-6990, ECSE-9990, EPOW-9990"
Michael J Wozny,"CSCI-6980, ECSE-2210, ECSE-2410, ECSE-2900, ECSE-4080, ECSE-4440, ECSE-4710, ECSE-4750, ECSE-4940, ECSE-4980, ECSE-6420, ECSE-6630, ECSE-6940, ECSE-6990, ECSE-9990, MANE-4050, MTLE-6300"
Robert B Kelley,"ECSE-2610, ECSE-4940, ECSE-4980, ECSE-6980"
Michael I Savic,"ECSE-2050, ECSE-4120, ECSE-4940, ECSE-4961, ECSE-6010, ECSE-6050, ECSE-6940, ECSE-6980, ECSE-6990, ECSE-9990, ENGR-2050"
George Nagy,"ECSE-2610, ECSE-4500, ECSE-4940, ECSE-6610, ECSE-6640, ECSE-6940, ECSE-6990, ECSE-9990"
Gary J Saulnier,"ECSE-2050, ECSE-2940, ECSE-2960, ECSE-4050, ECSE-4520, ECSE-4560, ECSE-4940, ECSE-4961, ECSE-4962, ECSE-4963, ECSE-4964, ECSE-4980, ECSE-6050, ECSE-6560, ECSE-6940, ECSE-6980, ECSE-6990, ECSE-9990"
Lester A Gerhardt,"ECSE-4510, ECSE-4530, ECSE-4540, ECSE-4900, ECSE-4961, ECSE-6990, ECSE-9990, ENGR-1961, ENGR-4940"
Thomas D Citriniti,"ECSE-4750, ECSE-6800, ECSE-6940"
Russell P. Kraft,"ECSE-2010, ECSE-2940, ECSE-4220, ECSE-4760, ECSE-4770, ECSE-4780, ECSE-4790, ECSE-4940, ECSE-4980, ECSE-6700, ECSE-6940, ECSE-6980, ENGR-2350, ENGR-4300"
Don L Millard,"ARTS-4967, ARTS-6940, COMM-4963, COMM-6964, CSCI-6980, ECSE-2010, ECSE-2050, ECSE-4940, ECSE-6940, ECSE-6990, ECSE-9990, ENGR-2050, ENGR-4300, EPOW-6940, ISCI-6120, ITEC-4940, PHYS-4940"
John Wen,"CSCI-4480, CSCI-6980, ECSE-2410, ECSE-2900, ECSE-2941, ECSE-4440, ECSE-4460, ECSE-4480, ECSE-4490, ECSE-4940, ECSE-4941, ECSE-6410, ECSE-6420, ECSE-6440, ECSE-6460, ECSE-6470, ECSE-6480, ECSE-6490, ECSE-6900, ECSE-6940, ECSE-6965, ECSE-6966, ECSE-6970, ECSE-6980, ECSE-6990, ECSE-9990, ENGR-2600, ESCI-9990, ISYE-4960, MANE-2940, MANE-2941, MANE-4120, MANE-4560, MANE-4940, MANE-4941, MANE-4960, MANE-4963, MANE-6120, MANE-6962, MANE-6963, MANE-6964, MANE-6968, MANE-6970, MANE-6980, MANE-6990, MANE-9990, PHYS-6990"
Michael Shur,"ECSE-2050, ECSE-4940, ECSE-4962, ECSE-4966, ECSE-6210, ECSE-6220, ECSE-6230, ECSE-6290, ECSE-6940, ECSE-6962, ECSE-6970, ECSE-6980, ECSE-6990, ECSE-9990, EPOW-6990, ESCI-9990, PHYS-6980, PHYS-9990"
W. Randolph Franklin,"CSCI-4430, CSCI-6969, CSCI-6980, CSCI-6990, CSCI-9990, ECSE-2500, ECSE-2610, ECSE-4740, ECSE-4750, ECSE-4940, ECSE-4964, ECSE-4965, ECSE-4980, ECSE-6800, ECSE-6940, ECSE-6964, ECSE-6967, ECSE-6990, ECSE-9990, ENGR-2050"
Partha S. Dutta,"CHME-9990, ECSE-2050, ECSE-2900, ECSE-4120, ECSE-4720, ECSE-4900, ECSE-4940, ECSE-4962, ECSE-4964, ECSE-4980, ECSE-6270, ECSE-6940, ECSE-6980, ECSE-6990, ECSE-7010, ECSE-9990, ENGR-1310, ENGR-2050, ENGR-2300, EPOW-9990, ESCI-9990, MTLE-6990, MTLE-9990, PHYS-4720, PHYS-6940"
H Austin Spang,"ECSE-6430, ECSE-6440"
John E Hershey,"ECSE-6520, ECSE-6963"
James W Modestino,"ECSE-6530, ECSE-6580, ECSE-6961, ECSE-6990, ECSE-9990"
Sunil K. Singh,ECSE-6780
Harry E Stephanou,"CSCI-4940, ECSE-4940, ECSE-6961, ECSE-6962, ECSE-6990, ECSE-9990"
Charles King,"ECSE-6963, MTLE-6962"
John F McDonald,"CSCI-6990, ECSE-2010, ECSE-2610, ECSE-2940, ECSE-4220, ECSE-4770, ECSE-4780, ECSE-4940, ECSE-4964, ECSE-4980, ECSE-6690, ECSE-6700, ECSE-6730, ECSE-6750, ECSE-6940, ECSE-6964, ECSE-6980, ECSE-6990, ECSE-9990, MGMT-4940"
John W Woods,"ECSE-2500, ECSE-4500, ECSE-4520, ECSE-6510, ECSE-6520, ECSE-6530, ECSE-6550, ECSE-6570, ECSE-6620, ECSE-6630, ECSE-6990, ECSE-9990, EPOW-9990"
William A Pearlman,"ECSE-4520, ECSE-4940, ECSE-4963, ECSE-6530, ECSE-6560, ECSE-6570, ECSE-6580, ECSE-6967, ECSE-6980, ECSE-6990, ECSE-9990"
Arthur C Sanderson,"ECSE-4500, ECSE-4940, ECSE-4964, ECSE-4969, ECSE-6500, ECSE-6610, ECSE-6620, ECSE-6962, ECSE-6965, ECSE-6990, ECSE-9990, ENGR-4940"
Kenneth S Vastola,"ECSE-2410, ECSE-2500, ECSE-2610, ECSE-2660, ECSE-2900, ECSE-4670, ECSE-4962, ECSE-6510, ECSE-6520, ECSE-6600, ECSE-6660, ECSE-6670, ECSE-6820, ECSE-6940, ECSE-6980, ECSE-6990, ECSE-9990, ISYE-6820"
Shyam P Murarka,"ECSE-6300, ECSE-6940, ECSE-9990, MTLE-6300, MTLE-6940, MTLE-6961, MTLE-9990"
Timothy J Holmes,"ECSE-9990, MGMT-4940"
Xi-Cheng Zhang,"ECSE-6990, ECSE-9990, ESCI-9990, PHYS-1010, PHYS-1100, PHYS-2370, PHYS-2940, PHYS-2950, PHYS-4370, PHYS-4962, PHYS-6710, PHYS-6720, PHYS-6940, PHYS-6960, PHYS-6963, PHYS-6980, PHYS-6990, PHYS-9990"
Yannick L Lecoz,"ECSE-2060, ECSE-2610, ECSE-4040, ECSE-4260, ECSE-4720, ECSE-6900, ECSE-6963, ECSE-6966, ECSE-6967, ECSE-6990, ECSE-9990, ENGR-2600, PHYS-4720"
Toh-Ming Lu,"CHME-9990, ECSE-4940, ESCI-9990, MTLE-6940, MTLE-6980, MTLE-6990, MTLE-9990, PHYS-1010, PHYS-1100, PHYS-2210, PHYS-2940, PHYS-2950, PHYS-4100, PHYS-4370, PHYS-4960, PHYS-4961, PHYS-4962, PHYS-6520, PHYS-6900, PHYS-6940, PHYS-6961, PHYS-6980, PHYS-6990, PHYS-9990"
Nicholas L Clesceri,"ENVE-4170, ENVE-4180, ENVE-4240, ENVE-4940, ENVE-6250, ENVE-6910, ENVE-6940, ENVE-6980, ENVE-6990"
J. Russell Manson,"ENVE-4310, ENVE-4940, ENVE-4960, ENVE-6230, ENVE-6940, ENVE-6980, ENVE-6990, ENVE-9990, ERTH-9990"
Arthur J Fossa,"ENVE-4330, ENVE-6940"
George Xu,"BMED-4961, BMED-4965, BMED-6960, BMED-6968, BMED-9990, ENVE-4470, ENVE-4940, ENVE-6220, ENVE-6940, ENVE-6961, ENVE-6980, ENVE-6990, ENVE-9990, ERTH-9990, MANE-2940, MANE-4340, MANE-4350, MANE-4470, MANE-4940, MANE-4963, MANE-4965, MANE-6270, MANE-6480, MANE-6940, MANE-6967, MANE-6990, MANE-9990, PHYS-6980"
Clinton T. Ballinger,"ENGR-2050, ENVE-4480, ENVE-6990, MANE-2220, MANE-2830, MANE-2940, MANE-2941, MANE-4220, MANE-4260, MANE-4940, MANE-4941, MANE-4966, MANE-6980, MGMT-1100, MGMT-2100, MGMT-2320, MGMT-2510, MGMT-2940, MGMT-4170, MGMT-4175, MGMT-4530, MGMT-4900, MGMT-4962, MGMT-4963, MGMT-4967, MGMT-6100, MGMT-6350, MGMT-6410, MGMT-6570, MGMT-6590, MGMT-6630, MGMT-6840, MGMT-6963, MGMT-7760"
Norman C. Francis,"ENVE-4480, ENVE-4940, ENVE-6940, ENVE-6961, MANE-4410, MANE-6390, MANE-6940, MANE-6965"
James Kilduff,"CIVL-4961, ENVE-2110, ENVE-2950, ENVE-4170, ENVE-4180, ENVE-4240, ENVE-4320, ENVE-4340, ENVE-4350, ENVE-4710, ENVE-4940, ENVE-4961, ENVE-6110, ENVE-6710, ENVE-6940, ENVE-6960, ENVE-6961, ENVE-6962, ENVE-6963, ENVE-6980, ENVE-6990, ENVE-9990, ERTH-4710, ERTH-6710, ERTH-9990"
Michael Podowski,"CHME-6840, ENGR-2250, ENVE-4400, ENVE-4630, ENVE-4940, ENVE-6690, ENVE-6940, ENVE-6990, ENVE-9990, MANE-2400, MANE-4400, MANE-4430, MANE-4940, MANE-4961, MANE-6370, MANE-6840, MANE-6850, MANE-6940, MANE-6980, MANE-6990, MANE-9990, PHYS-9990"
Robert C Block,"ECSE-9990, ENGR-4940, ENVE-4940, ENVE-6961, ENVE-6963, ENVE-9990"
Theodore R. Anderson,"ECSE-6940, ECSE-6961, ECSE-6962, ECSE-6964, ENVE-6450, ENVE-6961, MANE-4940, MANE-4941, MANE-4960, MANE-4961, MANE-6940"
Timothy H. Trumbull,"ENVE-6940, MANE-4440, MANE-6940"
Thomas F. DeLorey,"ENVE-6964, MANE-2400"
Kim Fortun,"IHSS-1210, IHSS-1240, IHSS-1961, IHSS-1966, ITEC-1210, ITEC-1220, STSH-1200, STSH-1961, STSH-4961, STSH-4964, STSH-4965, STSH-4980, STSH-6030, STSH-6940, STSS-1200, STSS-1961, STSS-2300, STSS-4280, STSS-4940, STSS-4961, STSS-4962, STSS-4963, STSS-4964, STSS-4965, STSS-4966, STSS-4967, STSS-4980, STSS-6120, STSS-6200, STSS-6940, STSS-6960, STSS-6961, STSS-6962, STSS-6965, STSS-6990, STSS-9990"
Nancy Lawson,ITEC-1961
Carl N McDaniel,"BCBP-4990, BIOL-1010, BIOL-1040, BIOL-1940, BIOL-2940, BIOL-4450, BIOL-4940, BIOL-4961, BIOL-4966, BIOL-6940, BIOL-6966, ENVE-4940, IENV-1910, IENV-1920, IENV-4940, IENV-4961"
Lester Rubenfeld,"CSCI-4940, GENL-4210, GENL-4211, ISCI-0466, ISCI-4420, ISCI-4440, ISCI-6260, ISCI-6270, ISCI-6280, ISCI-6963, ISCI-6964, ISCI-6965, MANE-4940, MATH-1010, MATH-2700, MATH-4940, MATH-4950, MATH-4960, MATH-4961, MATH-6940, MATH-6960, MATH-6961, MATH-9990, MGMT-6940"
Jane A Reel,"ADMN-4050, ENGR-1010, ENGR-4010, ISCI-4961"
Lucien R Gerber,"LANG-1110, LANG-1120, LANG-2110, LANG-2120, LANG-2940, LANG-4210, LANG-4400, LANG-4410, LANG-4940"
Marton Marko,"LANG-1310, LANG-1320, LANG-1520, LANG-1610, LANG-2310, LANG-2940, LANG-2961, LANG-4940, LANG-4961, LANG-4962, LANG-6940, LITR-4963"
Jianjun Yu,"LANG-1961, LANG-2940, LANG-2961, LANG-4940"
Alejandro O Sela,"LANG-1510, LANG-1520, LANG-1940, LANG-1961, LANG-1962, LANG-2940, LANG-2961, LANG-4940"
Lisa M Kevins,LANG-1963
Howard M Brandston,LGHT-4230
